groupe;zone;n_rel;code_rel;versant;latitude;longitude;rec_espece_dominante_arboree;a_ARBUNE;a_CUPSEM;a_QUEILE;a_PINHAL;a_PHIANG;a_PHILAT;a_PISLEN;a_VIBTIN;a_CUPsp;a_CUPMAC;rec_tot;AJUIVA;ANISTE;APIsp;APHMON;ARBUNE;ASPOFF;ARUITA;ARTHER;ASPACU;ASTsp;BELSYL;BITBIT;BISLAE;BRARAM;BRARET;BOTISC;BROERE;BUPRIG;CARsp;CENPAN;CEPLEU;CIRARV;CIRMON;CISMON;CISALB;CLEFLA;CLEVIT;CLINEP;CLAFUR;CONMAC;CONCAN;CORMAJ;CORVAL;CREBUR;CREMOL;CRESAN;CREsp;DACGLO;DACHIS;DORPEN;ECHVUL;ERICAN;ERIGER;EUGsp;EUPCHA;EUPCYP;EUPsp;FESsp;FILLAT;FRAORN;FUMCAP;GALAPA;GAUPRO;GENSCO;GERANI;GERROB;GERROT;GLOBIS;HEDHEL;HIEsp;HIECAE;HIEGLA;HIMROB;HYPsp;HYPRAD;JUNOXY;LAUNOB;LACPER;LACVIR;LONJAP;LINNAR;LINsp;LONICE;LONIMP;LONPER;LOTDOR;NARASS;NEPCAT;OLOMIL;ONOMIN;ONONAT;PETSED;PHIANG;PHILAT;PICHIE;PINHAL;PIPMIL;PISLEN;PISTER;PLALAN;POTREP;POTSAN;QUECOC;QUEILE;QUEPUB;RAMALA;REIPIC;RHAALA;ROSCAN;RUBsp;RUSACU;RUSACU;SALPAR;SALVER;SATMON;SCAMAR;SCOHIS;SEDACR;SEDREF;SEDSED;SED_sp;SELKRA;SESCAE;SHEARV;SILITA;SOLSP;STAREC;SMIASP;SONOLE;SONTER;TARAXA;TEUCHA;THYVUL;TORARV;TRIFSP;TYRLEU;VIBTIN;VINHIR;VINNIG;VULBRO
A;7;3;A7_3;S;43,38344;3,52284;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0
A;8;2;A8_2;S;43,64061572;3,86536452;70;0;0;70;0;0;0;0;0;0;0;112;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;15;0;0;0
A;8;3;A8_3;S;43,64045553;3,86533964;30;0;0;30;0;0;0;0;0;0;0;164;0;0;0;0;0;0;0;30;0;0;0;3;0;70;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;2;1;0;0;0;0;0;15;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;20;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
A;5;1;A5_1;N;43,643095;3,870175;20;0;20;0;0;0;0;0;0;0;0;123;0;0;0;0;0;0;0;0;0;0;5;0;0;0;5;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A;5;2;A5_2;N;44,643102;3,870251;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
A;5;3;A5_3;N;43,633005;3,870477;0;0;0;0;0;0;0;0;0;0;0;145;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;5;4;0;0;0;0;0;0;0;0;0;0;0;1;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A;10;1;A10_1;S;43,38242263;3,521380319;65;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;1;0;0;0;0;27;0;0;0;0;1,5;0;0;0;0;3,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
A;10;2;A10_2;S;43,38244698;3,521354969;85;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0;0;0;2;0;0;1;0;9;0;0;0;0;2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;1;0;0;0;0;18;0;0;0
A;8;1;A8_1;S;43,6403655;3,86526498;0;0;0;0;0;0;0;0;0;0;0;170;0;0;0;0;0;0;0;1;15;0;0;1;1;25;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A;10;3;A10_3;S;43,38246864;3,521340748;57,5;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;2;0;0;0;0;9;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;20;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;17,5;4,5;0;0
